update;: 27-07-2023;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;MONITORING KAPASITAS SERVER STORAGE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
NO;TYPE;HOSTNAME MGMT;IP MGMT;SN;TIPE;OS;KAPASITAS TB;USAGE TB;USAGE (%);CPU GB;Slot Dimm;Slot Dimm Usage;RAM (GB);Slot HDD;Jumlah HDD;Jenis HDD;PIC;LAYANAN;IP LAYANAN;HOSTNAME LAYANAN;Tahun Pengadaan;Expired
19;PRIMERGY RX2540 M5;DC03-JKC-BDW7;172.18.10.29;MASQ022345;SERVER;CentOS Linux 7.9.2009;20,115;0,227;1,13%;20;26;4;128;10;10;10 x SAS HDD;;BalaiDesa-Kubernetes3;172.18.18.17;;;01/10/2024
20;PRIMERGY RX2540 M5;DC03-JKC-BDW8;172.18.10.30;MASQ022329;SERVER;CentOS Linux 7.9.2009;20,115;0,225;1,12%;20;26;4;128;10;10;10 x SAS HDD;;BalaiDesa-Kubernetes4;172.18.18.18;;;01/10/2024
21;PRIMERGY RX2540 M5;DC03-JKC-BDW9;172.18.10.31;MASQ022346;SERVER;CentOS Linux 7.9.2009;20,115;0,23;1,14%;20;26;4;128;10;10;10 x SAS HDD;;BalaiDesa-Kubernetes5;172.18.18.19;;;01/10/2024
22;PRIMERGY RX2540 M5;DC03-JKC-BDW10;172.18.10.32;MASQ022330;SERVER;CentOS Linux 7.9.2009;20,115;0,319;1,59%;20;26;4;128;10;10;10 x SAS HDD;;BalaiDesa-Kubernetes6;172.18.18.20;;;01/10/2024
23;PRIMERGY RX2540 M5;DC03-JKC-BDW11;172.18.10.33;MASQ022347;SERVER;CentOS Linux 7.9.2009;20,115;0,25;1,24%;20;26;4;128;10;10;10 x SAS HDD;;BalaiDesa-Kubernetes7;172.18.18.21;;;01/10/2024
24;PRIMERGY RX2540 M5;DC03-JKC-BDW12;172.18.10.34;MASQ022331;SERVER;CentOS Linux 7.9.2009;20,115;0,251;1,25%;20;26;4;128;10;10;10 x SAS HDD;;BalaiDesa-Kubernetes8;172.18.18.22;;;01/10/2024
25;PRIMERGY RX2540 M5;DC03-JKC-BDW13;172.18.10.35;MASQ022348;SERVER;CentOS Linux 7.9.2009;20,115;0,228;1,13%;20;26;4;128;10;10;10 x SAS HDD;;balaidesa-meetingroom1;172.18.18.23;;;01/10/2024
26;PRIMERGY RX2540 M5;DC03-JKC-BDW14;172.18.10.36;MASQ022333;SERVER;CentOS Linux 7.9.2009;20,115;0,228;1,13%;20;26;4;128;10;10;10 x SAS HDD;;Balaidesa-Meetingroom2;172.18.18.24;;;01/10/2024
27;PRIMERGY RX2540 M5;DC03-JKC-BDW15;172.18.10.37;MASQ022349;SERVER;CentOS Linux 7.9.2009;20,115;0,225;1,12%;20;26;4;128;10;10;10 x SAS HDD;;Balaidesa-Meetingroom3;172.18.18.25;;;01/10/2024
28;PRIMERGY RX2540 M5;DC03-JKC-BDW16;172.18.10.38;MASQ022334;SERVER;CentOS Linux 7.9.2009;20,115;0;0,00%;20;26;4;128;10;10;10 x SAS HDD;;Balaidesa-Meetingroom4;172.18.18.26;;;01/10/2024
29;PRIMERGY RX2540 M5;DC03-JKC-EDGE01;172.18.10.39;MASQ022359;SERVER;CentOS Linux 7.9.2009;11,175;0,085;0,76%;20;26;4;128;10;10;10 x SAS HDD;;balaidesa-nfsservice-1;172.18.18.27;;;01/10/2024
30;PRIMERGY RX2540 M5;DC03-JKC-EDGE02;172.18.10.40;MASQ022328;SERVER;CentOS Linux 7.9.2009;11,175;0,102;0,91%;20;26;4;128;10;10;10 x SAS HDD;;balaidesa-frp-1;172.18.18.28;;;01/10/2024
;;;;;;;;;;;;;;;;;;BalaiDesaMangoDB1;172.18.19.12;;;
;;;;;;;;;;;;;;;;;;BalaiDesaMangoDB2;172.18.19.13;;;
;;;;;;;;;;;;;;;;;;BalaiDesaMangoDB3;172.18.19.14;;;
